assignment_id,hit_id,worker_id,start_time,condition,phase,item_order,item_name,response,response_order,originality
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,1,Tire,Building block for wall construction,0,3.2
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,1,Tire,planter for plants,1,2.8
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,1,Tire,soles for shoes,2,3.2
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,2,Bottle,magnifying lens,0,3.2
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,2,Bottle,aquarium,1,3.2
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,2,Bottle,terrarium,2,3.0
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,2,Bottle,juggling club,3,3.2
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,2,Bottle,centerfuge,4,3.4
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,3,Shoe,chock block,0,2.8
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,3,Shoe,hammer,1,3.2
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,3,Shoe,drinking vessel,2,3.8
3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,AZNIEFUIVB2H0,2024-05-28T14:25:53.020Z,absent,Practice,3,Shoe,rug beater,3,3.2
