assignment_id,hit_id,worker_id,start_time,condition,phase,item_order,item_name,response,response_order,originality
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,EASEL,0,3.0
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,Canvas,1,3.0
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,head rest,2,2.5
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,ottoman,3,2.3
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,substrate for writing,4,1.5
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,cutting board,5,2.0
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,use to knead dough,6,2.0
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,use to communicate messages,7,2.8
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,substrate for artwork,8,2.0
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,piece of a ladder,9,2.5
3IOEN3P9SR9ACD7HFZVU7473DNG61U,3RTFSSG7URWI9FTY9PLG0TJ350ALW7,AKSJ3C5O3V9RB,2024-04-20T17:46:44.974Z,absent,Practice,1,Table,step stool,10,2.0
